mechanism,strategy,random_state,target_feature,missing_rate,condition_feature,acc
MAR,basic,882,YrSold,0.30000000000000004,BsmtUnfSF,0.9516129032258065
MAR,double_threshold,882,YrSold,0.30000000000000004,"['BsmtUnfSF', 'GarageYrBlt']",0.90625
MAR,range_condition,882,YrSold,0.30000000000000004,BsmtUnfSF,0.7790697674418605
MAR,nonlinear,882,YrSold,0.30000000000000004,BsmtUnfSF,0.7142857142857143
MCAR,none,882,YrSold,0.30000000000000004,,0.47058823529411764
MAR,basic,882,YrSold,0.4,BsmtUnfSF,0.9285714285714286
MAR,double_threshold,882,YrSold,0.4,"['BsmtUnfSF', 'GarageYrBlt']",0.9310344827586207
MAR,range_condition,882,YrSold,0.4,BsmtUnfSF,0.8157894736842105
MAR,nonlinear,882,YrSold,0.4,BsmtUnfSF,0.36363636363636365
MCAR,none,882,YrSold,0.4,,0.5465465465465466
MAR,basic,882,YrSold,0.5,BsmtUnfSF,0.8811881188118812
MAR,double_threshold,882,YrSold,0.5,"['BsmtUnfSF', 'GarageYrBlt']",0.9230769230769231
MAR,range_condition,882,YrSold,0.5,BsmtUnfSF,0.8768115942028986
MAR,nonlinear,882,YrSold,0.5,BsmtUnfSF,0.5
MCAR,none,882,YrSold,0.5,,0.5318627450980392
MAR,basic,882,YrSold,0.6000000000000001,BsmtUnfSF,0.8943089430894309
MAR,double_threshold,882,YrSold,0.6000000000000001,"['BsmtUnfSF', 'GarageYrBlt']",0.8984375
MAR,range_condition,882,YrSold,0.6000000000000001,BsmtUnfSF,0.8862275449101796
MAR,nonlinear,882,YrSold,0.6000000000000001,BsmtUnfSF,0.29411764705882354
MCAR,none,882,YrSold,0.6000000000000001,,0.5177514792899408
MAR,basic,882,YrSold,0.7000000000000001,BsmtUnfSF,0.9236111111111112
MAR,double_threshold,882,YrSold,0.7000000000000001,"['BsmtUnfSF', 'GarageYrBlt']",0.9530201342281879
MAR,range_condition,882,YrSold,0.7000000000000001,BsmtUnfSF,0.9020618556701031
MAR,nonlinear,882,YrSold,0.7000000000000001,BsmtUnfSF,0.65
MCAR,none,882,YrSold,0.7000000000000001,,0.5384615384615384
MAR,basic,882,YrSold,0.8,BsmtUnfSF,0.9642857142857143
MAR,double_threshold,882,YrSold,0.8,"['BsmtUnfSF', 'GarageYrBlt']",0.9595375722543352
MAR,range_condition,882,YrSold,0.8,BsmtUnfSF,0.9196428571428571
MAR,nonlinear,882,YrSold,0.8,BsmtUnfSF,0.3333333333333333
MCAR,none,882,YrSold,0.8,,0.5146198830409356
MAR,basic,882,YrSold,0.9,BsmtUnfSF,0.9891891891891892
MAR,double_threshold,882,YrSold,0.9,"['BsmtUnfSF', 'GarageYrBlt']",0.9895287958115183
MAR,range_condition,882,YrSold,0.9,BsmtUnfSF,0.964
MAR,nonlinear,882,YrSold,0.9,BsmtUnfSF,0.48
MCAR,none,882,YrSold,0.9,,0.4880952380952381
MAR,basic,196,WoodDeckSF,0.1,EnclosedPorch,0.7692307692307693
MAR,double_threshold,196,WoodDeckSF,0.1,"['EnclosedPorch', 'BsmtHalfBath']",0.5147058823529411
MAR,range_condition,196,WoodDeckSF,0.1,EnclosedPorch,0.5714285714285714
MAR,nonlinear,196,WoodDeckSF,0.1,EnclosedPorch,1.0
MCAR,none,196,WoodDeckSF,0.1,,0.52
MAR,basic,196,WoodDeckSF,0.2,EnclosedPorch,0.9166666666666666
MAR,double_threshold,196,WoodDeckSF,0.2,"['EnclosedPorch', 'BsmtHalfBath']",0.5
MAR,range_condition,196,WoodDeckSF,0.2,EnclosedPorch,0.5
MAR,nonlinear,196,WoodDeckSF,0.2,EnclosedPorch,0.8333333333333334
MCAR,none,196,WoodDeckSF,0.2,,0.46794871794871795
MAR,basic,196,WoodDeckSF,0.30000000000000004,EnclosedPorch,0.9142857142857143
MAR,double_threshold,196,WoodDeckSF,0.30000000000000004,"['EnclosedPorch', 'BsmtHalfBath']",0.5044642857142857
MAR,range_condition,196,WoodDeckSF,0.30000000000000004,EnclosedPorch,0.5666666666666667
MAR,nonlinear,196,WoodDeckSF,0.30000000000000004,EnclosedPorch,0.8823529411764706
MCAR,none,196,WoodDeckSF,0.30000000000000004,,0.5165289256198347
MAR,basic,196,WoodDeckSF,0.4,EnclosedPorch,0.9772727272727273
MAR,double_threshold,196,WoodDeckSF,0.4,"['EnclosedPorch', 'BsmtHalfBath']",0.52
MAR,range_condition,196,WoodDeckSF,0.4,EnclosedPorch,0.5575539568345323
MAR,nonlinear,196,WoodDeckSF,0.4,EnclosedPorch,0.9
MCAR,none,196,WoodDeckSF,0.4,,0.5279503105590062
MAR,basic,196,WoodDeckSF,0.5,EnclosedPorch,0.8888888888888888
MAR,double_threshold,196,WoodDeckSF,0.5,"['EnclosedPorch', 'BsmtHalfBath']",0.5297157622739018
MAR,range_condition,196,WoodDeckSF,0.5,EnclosedPorch,0.5944444444444444
MAR,nonlinear,196,WoodDeckSF,0.5,EnclosedPorch,0.8695652173913043
MCAR,none,196,WoodDeckSF,0.5,,0.4975609756097561
MAR,basic,196,WoodDeckSF,0.6000000000000001,EnclosedPorch,0.9846153846153847
MAR,double_threshold,196,WoodDeckSF,0.6000000000000001,"['EnclosedPorch', 'BsmtHalfBath']",0.5441988950276243
MAR,range_condition,196,WoodDeckSF,0.6000000000000001,EnclosedPorch,0.5939086294416244
MAR,nonlinear,196,WoodDeckSF,0.6000000000000001,EnclosedPorch,0.7931034482758621
MCAR,none,196,WoodDeckSF,0.6000000000000001,,0.5421686746987951
MAR,basic,196,WoodDeckSF,0.7000000000000001,EnclosedPorch,0.9583333333333334
MAR,double_threshold,196,WoodDeckSF,0.7000000000000001,"['EnclosedPorch', 'BsmtHalfBath']",0.5597269624573379
MAR,range_condition,196,WoodDeckSF,0.7000000000000001,EnclosedPorch,0.6347305389221557
MAR,nonlinear,196,WoodDeckSF,0.7000000000000001,EnclosedPorch,0.9090909090909091
MCAR,none,196,WoodDeckSF,0.7000000000000001,,0.42084942084942084
MAR,basic,196,WoodDeckSF,0.8,EnclosedPorch,0.975
MAR,double_threshold,196,WoodDeckSF,0.8,"['EnclosedPorch', 'BsmtHalfBath']",0.5990338164251208
MAR,range_condition,196,WoodDeckSF,0.8,EnclosedPorch,0.6926070038910506
MAR,nonlinear,196,WoodDeckSF,0.8,EnclosedPorch,0.8857142857142857
MCAR,none,196,WoodDeckSF,0.8,,0.4642857142857143
MAR,basic,196,WoodDeckSF,0.9,EnclosedPorch,1.0
MAR,double_threshold,196,WoodDeckSF,0.9,"['EnclosedPorch', 'BsmtHalfBath']",0.6771653543307087
MAR,range_condition,196,WoodDeckSF,0.9,EnclosedPorch,0.7351351351351352
MAR,nonlinear,196,WoodDeckSF,0.9,EnclosedPorch,0.9285714285714286
MCAR,none,196,WoodDeckSF,0.9,,0.4939759036144578
MAR,basic,791,KitchenAbvGr,0.1,1stFlrSF,0.7428571428571429
MAR,double_threshold,791,KitchenAbvGr,0.1,"['1stFlrSF', 'MSSubClass']",0.7666666666666667
MAR,range_condition,791,KitchenAbvGr,0.1,1stFlrSF,0.6857142857142857
MAR,nonlinear,791,KitchenAbvGr,0.1,1stFlrSF,0.45714285714285713
MCAR,none,791,KitchenAbvGr,0.1,,0.5952380952380952
MAR,basic,791,KitchenAbvGr,0.2,1stFlrSF,0.7972972972972973
MAR,double_threshold,791,KitchenAbvGr,0.2,"['1stFlrSF', 'MSSubClass']",0.864406779661017
MAR,range_condition,791,KitchenAbvGr,0.2,1stFlrSF,0.7746478873239436
MAR,nonlinear,791,KitchenAbvGr,0.2,1stFlrSF,0.4507042253521127
MCAR,none,791,KitchenAbvGr,0.2,,0.49404761904761907
MAR,basic,791,KitchenAbvGr,0.30000000000000004,1stFlrSF,0.8672566371681416
MAR,double_threshold,791,KitchenAbvGr,0.30000000000000004,"['1stFlrSF', 'MSSubClass']",0.7692307692307693
MAR,range_condition,791,KitchenAbvGr,0.30000000000000004,1stFlrSF,0.8598130841121495
MAR,nonlinear,791,KitchenAbvGr,0.30000000000000004,1stFlrSF,0.45794392523364486
MCAR,none,791,KitchenAbvGr,0.30000000000000004,,0.532520325203252
MAR,basic,791,KitchenAbvGr,0.4,1stFlrSF,0.8205128205128205
MAR,double_threshold,791,KitchenAbvGr,0.4,"['1stFlrSF', 'MSSubClass']",0.8384615384615385
MAR,range_condition,791,KitchenAbvGr,0.4,1stFlrSF,0.8322147651006712
MAR,nonlinear,791,KitchenAbvGr,0.4,1stFlrSF,0.5838926174496645
MCAR,none,791,KitchenAbvGr,0.4,,0.4514285714285714
MAR,basic,791,KitchenAbvGr,0.5,1stFlrSF,0.8641304347826086
MAR,double_threshold,791,KitchenAbvGr,0.5,"['1stFlrSF', 'MSSubClass']",0.8300653594771242
MAR,range_condition,791,KitchenAbvGr,0.5,1stFlrSF,0.8620689655172413
MAR,nonlinear,791,KitchenAbvGr,0.5,1stFlrSF,0.5287356321839081
MCAR,none,791,KitchenAbvGr,0.5,,0.5292620865139949
MAR,basic,791,KitchenAbvGr,0.6000000000000001,1stFlrSF,0.8511627906976744
MAR,double_threshold,791,KitchenAbvGr,0.6000000000000001,"['1stFlrSF', 'MSSubClass']",0.8876404494382022
MAR,range_condition,791,KitchenAbvGr,0.6000000000000001,1stFlrSF,0.9068627450980392
MAR,nonlinear,791,KitchenAbvGr,0.6000000000000001,1stFlrSF,0.5343137254901961
MCAR,none,791,KitchenAbvGr,0.6000000000000001,,0.4557377049180328
MAR,basic,791,KitchenAbvGr,0.7000000000000001,1stFlrSF,0.9149797570850202
MAR,double_threshold,791,KitchenAbvGr,0.7000000000000001,"['1stFlrSF', 'MSSubClass']",0.9264705882352942
MAR,range_condition,791,KitchenAbvGr,0.7000000000000001,1stFlrSF,0.8589743589743589
