mechanism,strategy,random_state,target_feature,missing_rate,condition_feature,acc
MAR,nonlinear,55,pH,0.8,chlorides,0.7666527893422148
MCAR,none,55,pH,0.8,,0.49305279872965463
MAR,basic,55,pH,0.9,chlorides,0.8936862660013019
MAR,double_threshold,55,pH,0.9,"['chlorides', 'total_sulfur_dioxide']",0.9627906976744186
MAR,range_condition,55,pH,0.9,chlorides,0.9293576474453754
MAR,nonlinear,55,pH,0.9,chlorides,0.8532637075718016
MCAR,none,55,pH,0.9,,0.5059665871121718
MAR,basic,231,fixed_acidity,0.1,citric_acid,0.8295739348370927
MAR,double_threshold,231,fixed_acidity,0.1,"['citric_acid', 'sulphates']",0.9135338345864662
MAR,range_condition,231,fixed_acidity,0.1,citric_acid,0.7624309392265194
MAR,nonlinear,231,fixed_acidity,0.1,citric_acid,0.8607888631090487
MCAR,none,231,fixed_acidity,0.1,,0.4900556881463803
MAR,basic,231,fixed_acidity,0.2,citric_acid,0.8491048593350383
MAR,double_threshold,231,fixed_acidity,0.2,"['citric_acid', 'sulphates']",0.9130434782608695
MAR,range_condition,231,fixed_acidity,0.2,citric_acid,0.7932011331444759
MAR,nonlinear,231,fixed_acidity,0.2,citric_acid,0.8267622461170848
MCAR,none,231,fixed_acidity,0.2,,0.5095693779904307
MAR,basic,231,fixed_acidity,0.30000000000000004,citric_acid,0.8509737510584251
MAR,double_threshold,231,fixed_acidity,0.30000000000000004,"['citric_acid', 'sulphates']",0.9079118028534371
MAR,range_condition,231,fixed_acidity,0.30000000000000004,citric_acid,0.798361688720857
MAR,nonlinear,231,fixed_acidity,0.30000000000000004,citric_acid,0.8608695652173913
MCAR,none,231,fixed_acidity,0.30000000000000004,,0.5005321979776477
MAR,basic,231,fixed_acidity,0.4,citric_acid,0.8647619047619047
MAR,double_threshold,231,fixed_acidity,0.4,"['citric_acid', 'sulphates']",0.9190751445086706
MAR,range_condition,231,fixed_acidity,0.4,citric_acid,0.8113207547169812
MAR,nonlinear,231,fixed_acidity,0.4,citric_acid,0.8576512455516014
MCAR,none,231,fixed_acidity,0.4,,0.5065606361829026
MAR,basic,231,fixed_acidity,0.5,citric_acid,0.8924144769459593
MAR,double_threshold,231,fixed_acidity,0.5,"['citric_acid', 'sulphates']",0.9280847842543528
MAR,range_condition,231,fixed_acidity,0.5,citric_acid,0.8474325821943111
MAR,nonlinear,231,fixed_acidity,0.5,citric_acid,0.8658932714617169
MCAR,none,231,fixed_acidity,0.5,,0.490743696137887
MAR,basic,231,fixed_acidity,0.6000000000000001,citric_acid,0.9078131459280695
MAR,double_threshold,231,fixed_acidity,0.6000000000000001,"['citric_acid', 'sulphates']",0.9498730964467005
MAR,range_condition,231,fixed_acidity,0.6000000000000001,citric_acid,0.8624923265807244
MAR,nonlinear,231,fixed_acidity,0.6000000000000001,citric_acid,0.8967916505604948
MCAR,none,231,fixed_acidity,0.6000000000000001,,0.5
MAR,basic,231,fixed_acidity,0.7000000000000001,citric_acid,0.9251844046364595
MAR,double_threshold,231,fixed_acidity,0.7000000000000001,"['citric_acid', 'sulphates']",0.9589114194236926
MAR,range_condition,231,fixed_acidity,0.7000000000000001,citric_acid,0.8951633986928105
MAR,nonlinear,231,fixed_acidity,0.7000000000000001,citric_acid,0.9195930423367247
MCAR,none,231,fixed_acidity,0.7000000000000001,,0.5078082929456113
MAR,basic,231,fixed_acidity,0.8,citric_acid,0.9547553093259464
MAR,double_threshold,231,fixed_acidity,0.8,"['citric_acid', 'sulphates']",0.9738805970149254
MAR,range_condition,231,fixed_acidity,0.8,citric_acid,0.9309791332263242
MAR,nonlinear,231,fixed_acidity,0.8,citric_acid,0.9462180040264596
MCAR,none,231,fixed_acidity,0.8,,0.5210355987055016
MAR,basic,231,fixed_acidity,0.9,citric_acid,0.9807427785419532
MAR,double_threshold,231,fixed_acidity,0.9,"['citric_acid', 'sulphates']",0.9845769070446019
MAR,range_condition,231,fixed_acidity,0.9,citric_acid,0.9606879606879607
MAR,nonlinear,231,fixed_acidity,0.9,citric_acid,0.9761477301872274
MCAR,none,231,fixed_acidity,0.9,,0.5257985257985258
MAR,basic,952,residual_sugar,0.1,alcohol,0.6399108138238573
MAR,double_threshold,952,residual_sugar,0.1,"['alcohol', 'density']",0.9137931034482759
MAR,range_condition,952,residual_sugar,0.1,alcohol,0.7586837294332724
MAR,nonlinear,952,residual_sugar,0.1,alcohol,0.6489988221436984
MCAR,none,952,residual_sugar,0.1,,0.4996186117467582
MAR,basic,952,residual_sugar,0.2,alcohol,0.6414228341939185
MAR,double_threshold,952,residual_sugar,0.2,"['alcohol', 'density']",0.9387186629526463
MAR,range_condition,952,residual_sugar,0.2,alcohol,0.8007448789571695
